ItemID,UserID,CategoryID,ItemTitle,Description,ItemType,Status,Location,Brand,Color,EstimatedValue,ReportDate,RecoveredDate,VerificationStatus
1,31,3,Brown Wallet,Brown Wallet reported as trade near BH-1.,Trade,Matched,BH-1,Wildcraft,Brown,895,2026-08-11,,Verified
2,68,18,64GB USB Drive,64GB USB Drive reported as trade near BH-1.,Trade,Recovered,BH-1,SanDisk,Black,1731,2024-01-23,2024-02-22,Verified
3,22,14,Jacket,Jacket reported as found near Main Canteen.,Found,Matched,Main Canteen,,,3937,2025-08-14,,Rejected
4,63,3,Brown Wallet,Brown Wallet reported as trade near Parking Area.,Trade,Recovered,Parking Area,Wildcraft,Black,781,2024-07-14,2024-07-16,Verified
5,24,8,Scientific Calculator,Scientific Calculator reported as lost near Sports Complex.,Lost,Matched,Sports Complex,,,1100,2025-03-25,,Verified
6,24,3,Black Wallet,Black Wallet reported as found near ECE Block.,Found,Open,ECE Block,Wildcraft,Brown,1587,2025-03-16,,Verified
7,7,11,Steel Water Bottle,Steel Water Bottle reported as lost near CSE Block.,Lost,Recovered,CSE Block,Milton,Red,1288,2024-08-03,2024-08-30,Verified
8,31,5,Student ID Card,Student ID Card reported as wanted near Parking Area.,Wanted,Recovered,Parking Area,,,179,2026-01-28,2026-02-15,Verified
9,28,4,Scooter Keys,Scooter Keys reported as lost near BH-2.,Lost,Recovered,BH-2,,,201,2024-09-20,2024-09-29,Rejected
10,63,6,Programming Book,Programming Book reported as trade near Parking Area.,Trade,Recovered,Parking Area,,,804,2023-12-06,2023-12-09,Verified
11,41,16,Black Umbrella,Black Umbrella reported as found near GH-2.,Found,Open,GH-2,,Blue,737,2022-09-15,,Verified
12,98,5,Student ID Card,Student ID Card reported as lost near Auditorium.,Lost,Matched,Auditorium,,,158,2025-01-03,,Verified
13,98,4,Room Keys,Room Keys reported as lost near Central Library.,Lost,Matched,Central Library,,,597,2025-05-08,,Verified
14,38,6,Mathematics Book,Mathematics Book reported as trade near Central Library.,Trade,Matched,Central Library,,,1496,2023-09-28,,Verified
15,55,18,32GB USB Drive,32GB USB Drive reported as trade near Civil Block.,Trade,Recovered,Civil Block,Kingston,Black,508,2025-09-20,2025-10-18,Pending
16,63,18,32GB USB Drive,32GB USB Drive reported as lost near Main Library.,Lost,Recovered,Main Library,Kingston,Black,571,2024-04-01,2024-04-22,Verified
17,67,6,Mathematics Book,Mathematics Book reported as lost near Parking Area.,Lost,Open,Parking Area,,,618,2023-08-15,,Pending
18,70,12,College Backpack,College Backpack reported as lost near Mechanical Block.,Lost,Cancelled,Mechanical Block,Wildcraft,Black,3831,2023-05-23,,Pending
19,6,4,Bike Keys,Bike Keys reported as lost near BH-3.,Lost,Cancelled,BH-3,,,236,2024-06-15,,Verified
20,25,5,Student ID Card,Student ID Card reported as lost near ECE Block.,Lost,Recovered,ECE Block,,,181,2025-04-02,2025-04-24,Verified
21,17,5,Student ID Card,Student ID Card reported as found near Central Library.,Found,Recovered,Central Library,,,131,2023-05-22,2023-06-05,Verified
22,18,6,Mathematics Book,Mathematics Book reported as lost near EE Block.,Lost,Recovered,EE Block,,,503,2025-12-02,2025-12-26,Verified
23,57,11,Plastic Bottle,Plastic Bottle reported as wanted near Admin Block.,Wanted,Recovered,Admin Block,Cello,Black,898,2024-10-27,2024-11-03,Verified
24,41,4,Room Keys,Room Keys reported as lost near Mechanical Block.,Lost,Cancelled,Mechanical Block,,,316,2023-02-06,,Verified
25,74,5,Student ID Card,Student ID Card reported as found near BH-3.,Found,Recovered,BH-3,,,158,2025-04-14,2025-04-28,Verified
26,38,5,Student ID Card,Student ID Card reported as found near Health Centre.,Found,Recovered,Health Centre,,,232,2023-09-06,2023-10-01,Verified
27,42,9,Digital Watch,Digital Watch reported as lost near EIE Block.,Lost,Recovered,EIE Block,Casio,Black,4924,2023-08-09,2023-09-08,Verified
28,13,5,Student ID Card,Student ID Card reported as lost near Civil Block.,Lost,Recovered,Civil Block,,,193,2025-07-28,2025-08-24,Verified
29,53,5,Student ID Card,Student ID Card reported as found near Parking Area.,Found,Matched,Parking Area,,,219,2026-03-06,,Verified
30,79,5,Student ID Card,Student ID Card reported as found near BH-3.,Found,Open,BH-3,,,268,2024-05-20,,Verified
31,69,17,10000mAh Power Bank,10000mAh Power Bank reported as lost near Mechanical Block.,Lost,Recovered,Mechanical Block,Mi,White,878,2024-12-16,2024-12-30,Verified
32,92,12,College Backpack,College Backpack reported as lost near Central Library.,Lost,Recovered,Central Library,Skybags,Blue,2049,2025-12-10,2025-12-29,Verified
33,40,7,Class Notebook,Class Notebook reported as lost near CSE Block.,Lost,Open,CSE Block,,,223,2026-02-13,,Verified
34,1,5,Student ID Card,Student ID Card reported as found near Student Activity Centre.,Found,Recovered,Student Activity Centre,,,257,2026-01-02,2026-01-13,Verified
