TradeID,ItemID,RequesterID,OwnerID,TradeStatus,RequestDate,AcceptedDate,CompletedDate
1,119,71,54,Rejected,2024-07-04,,
2,268,24,96,Accepted,2023-07-04,2023-07-07,
3,66,21,70,Accepted,2023-01-19,2023-01-21,
4,275,99,18,Completed,2026-03-15,2026-03-19,2026-03-22
5,183,22,6,Accepted,2024-01-07,2024-01-09,
6,264,4,9,Cancelled,2024-01-18,,
7,151,78,69,Completed,2025-09-15,2025-09-19,2025-09-29
8,4,32,63,Accepted,2024-08-01,2024-08-04,
9,251,74,23,Accepted,2024-10-24,2024-10-25,
10,183,52,6,Cancelled,2023-12-29,,
11,42,59,17,Accepted,2022-11-05,2022-11-06,
12,268,47,96,Completed,2023-06-29,2023-07-01,2023-07-11
13,264,16,9,Rejected,2024-01-20,,
14,66,37,70,Pending,2023-01-20,,
15,251,89,23,Cancelled,2024-10-23,,
16,14,77,38,Completed,2023-09-29,2023-10-01,2023-10-08
17,10,29,63,Completed,2023-12-21,2023-12-24,2024-01-03
18,142,50,22,Pending,2025-10-21,,
19,1,94,31,Pending,2026-08-14,,
20,52,33,23,Cancelled,2025-06-19,,
21,221,90,16,Accepted,2023-09-17,2023-09-20,
22,142,6,22,Rejected,2025-10-25,,
23,194,30,11,Accepted,2026-06-07,2026-06-08,
24,10,11,63,Rejected,2023-12-15,,
25,148,62,68,Completed,2024-01-25,2024-01-26,2024-01-30
26,92,16,31,Completed,2026-04-30,2026-05-01,2026-05-09
27,148,16,68,Completed,2024-01-31,2024-02-05,2024-02-13
28,1,12,31,Completed,2026-08-19,2026-08-23,2026-08-29
29,198,67,35,Accepted,2024-05-19,2024-05-23,
30,137,90,52,Pending,2026-01-17,,
31,195,80,91,Accepted,2023-05-01,2023-05-02,
32,195,56,91,Rejected,2023-05-06,,
33,221,19,16,Completed,2023-09-18,2023-09-20,2023-09-25
34,15,91,55,Accepted,2025-10-07,2025-10-08,
35,42,54,17,Accepted,2022-11-05,2022-11-07,
36,215,98,33,Cancelled,2025-07-08,,
37,52,86,23,Completed,2025-07-01,2025-07-04,2025-07-10
38,4,74,63,Completed,2024-08-02,2024-08-04,2024-08-07
39,61,97,24,Completed,2025-02-20,2025-02-23,2025-02-28
40,221,30,16,Accepted,2023-09-18,2023-09-22,
41,121,8,50,Rejected,2023-10-17,,
42,290,56,12,Completed,2024-01-11,2024-01-12,2024-01-16
43,215,94,33,Completed,2025-07-10,2025-07-13,2025-07-17
44,275,86,18,Accepted,2026-03-04,2026-03-07,
45,251,28,23,Pending,2024-10-23,,
46,290,26,12,Pending,2024-01-08,,
47,198,67,35,Cancelled,2024-05-21,,
48,251,11,23,Pending,2024-10-22,,
49,241,85,29,Accepted,2022-11-07,2022-11-10,
50,137,39,52,Accepted,2026-01-12,2026-01-17,
